Fecha (UTC),Fecha (Local),Planeta 1,Aspecto,Planeta 2,Descripción,Posición 1,Posición 2
2025-01-05 00:00:42,2025-01-04 21:00:42,Luna,Cuadratura,Mercurio,Luna (directo) por tránsito esta en Cuadratura a tu Mercurio Natal,18°55' Piscis,18°55' Sagitario
2025-01-05 00:27:25,2025-01-04 21:27:25,Luna,Trígono,Neptuno,Luna (directo) por tránsito esta en Trígono a tu Neptuno Natal,19°11' Piscis,19°10' Escorpio
2025-01-05 05:52:15,2025-01-05 02:52:15,Luna,Oposición,Marte,Luna (directo) por tránsito esta en Oposición a tu Marte Natal,22°20' Piscis,22°19' Virgo
2025-01-06 04:02:34,2025-01-06 01:02:34,Luna,Cuadratura,Sol,Luna (directo) por tránsito esta en Cuadratura a tu Sol Natal,5°16' Aries,5°16' Capricornio
2025-01-06 09:27:25,2025-01-06 06:27:25,Sol,Trígono,Plutón,Sol (directo) por tránsito esta en Trígono a tu Plutón Natal,16°18' Capricornio,16°18' Virgo
2025-01-06 11:26:57,2025-01-06 08:26:57,Luna,Trígono,Venus,Luna (directo) por tránsito esta en Trígono a tu Venus Natal,9°36' Aries,9°36' Sagitario
2025-01-07 03:20:23,2025-01-07 00:20:23,Luna,Trígono,Mercurio,Luna (directo) por tránsito esta en Trígono a tu Mercurio Natal,18°55' Aries,18°55' Sagitario
2025-01-07 04:22:15,2025-01-07 01:22:15,Luna,Oposición,Luna,Luna (directo) por tránsito esta en Oposición a tu Luna Natal,19°31' Aries,19°31' Libra
2025-01-07 23:38:12,2025-01-07 20:38:12,Luna,Sextil,Saturno,Luna (directo) por tránsito esta en Sextil a tu Saturno Natal,0°51' Tauro,0°50' Piscis
2025-01-08 04:13:49,2025-01-08 01:13:49,Venus,Sextil,Sol,Venus (directo) por tránsito esta en Sextil a tu Sol Natal,5°16' Piscis,5°16' Capricornio
2025-01-08 07:09:36,2025-01-08 04:09:36,Luna,Trígono,Sol,Luna (directo) por tránsito esta en Trígono a tu Sol Natal,5°16' Tauro,5°16' Capricornio
2025-01-09 02:08:40,2025-01-08 23:08:40,Luna,Conjunción,Júpiter,Luna (directo) por tránsito esta en Conjunción a tu Júpiter Natal,16°28' Tauro,16°27' Tauro
2025-01-09 05:03:02,2025-01-09 02:03:02,Sol,Sextil,Neptuno,Sol (directo) por tránsito esta en Sextil a tu Neptuno Natal,19°10' Capricornio,19°10' Escorpio
2025-01-09 06:45:42,2025-01-09 03:45:42,Luna,Oposición,Neptuno,Luna (directo) por tránsito esta en Oposición a tu Neptuno Natal,19°11' Tauro,19°10' Escorpio
2025-01-09 13:16:38,2025-01-09 10:16:38,Sol,Cuadratura,Luna,Sol (directo) por tránsito esta en Cuadratura a tu Luna Natal,19°31' Capricornio,19°31' Libra
2025-01-10 02:32:34,2025-01-09 23:32:34,Luna,Cuadratura,Saturno,Luna (directo) por tránsito esta en Cuadratura a tu Saturno Natal,0°50' Géminis,0°50' Piscis
2025-01-10 17:26:57,2025-01-10 14:26:57,Luna,Oposición,Venus,Luna (directo) por tránsito esta en Oposición a tu Venus Natal,9°36' Géminis,9°36' Sagitario
2025-01-11 09:21:47,2025-01-11 06:21:47,Luna,Oposición,Mercurio,Luna (directo) por tránsito esta en Oposición a tu Mercurio Natal,18°55' Géminis,18°55' Sagitario
2025-01-12 02:15:42,2025-01-11 23:15:42,Mercurio,Conjunción,Sol,Mercurio (directo) por tránsito esta en Conjunción a tu Sol Natal,5°16' Capricornio,5°16' Capricornio
2025-01-12 05:52:15,2025-01-12 02:52:15,Luna,Trígono,Saturno,Luna (directo) por tránsito esta en Trígono a tu Saturno Natal,0°51' Cáncer,0°50' Piscis
2025-01-12 07:12:25,2025-01-12 04:12:25,Sol,Trígono,Marte,Sol (directo) por tránsito esta en Trígono a tu Marte Natal,22°19' Capricornio,22°19' Virgo
2025-01-12 10:16:38,2025-01-12 07:16:38,Venus,Cuadratura,Venus,Venus (directo) por tránsito esta en Cuadratura a tu Venus Natal,9°36' Piscis,9°36' Sagitario
2025-01-12 13:32:06,2025-01-12 10:32:06,Luna,Oposición,Sol,Luna (directo) por tránsito esta en Oposición a tu Sol Natal,5°16' Cáncer,5°16' Capricornio
2025-01-13 09:06:19,2025-01-13 06:06:19,Luna,Sextil,Júpiter,Luna (directo) por tránsito esta en Sextil a tu Júpiter Natal,16°27' Cáncer,16°27' Tauro
2025-01-15 15:17:34,2025-01-15 12:17:34,Luna,Cuadratura,Júpiter,Luna (directo) por tránsito esta en Cuadratura a tu Júpiter Natal,16°27' Leo,16°27' Tauro
2025-01-16 18:23:12,2025-01-16 15:23:12,Luna,Oposición,Saturno,Luna (directo) por tránsito esta en Oposición a tu Saturno Natal,0°51' Virgo,0°50' Piscis
2025-01-17 17:38:12,2025-01-17 14:38:12,Venus,Oposición,Urano,Venus (directo) por tránsito esta en Oposición a tu Urano Natal,14°49' Piscis,14°49' Virgo
2025-01-17 21:26:00,2025-01-17 18:26:00,Luna,Conjunción,Urano,Luna (directo) por tránsito esta en Conjunción a tu Urano Natal,14°49' Virgo,14°49' Virgo
2025-01-18 00:21:47,2025-01-17 21:21:47,Luna,Conjunción,Plutón,Luna (directo) por tránsito esta en Conjunción a tu Plutón Natal,16°18' Virgo,16°18' Virgo
2025-01-18 00:40:04,2025-01-17 21:40:04,Luna,Trígono,Júpiter,Luna (directo) por tránsito esta en Trígono a tu Júpiter Natal,16°28' Virgo,16°27' Tauro
2025-01-18 11:25:32,2025-01-18 08:25:32,Mercurio,Trígono,Urano,Mercurio (directo) por tránsito esta en Trígono a tu Urano Natal,14°49' Capricornio,14°49' Virgo
2025-01-18 12:14:45,2025-01-18 09:14:45,Luna,Conjunción,Marte,Luna (directo) por tránsito esta en Conjunción a tu Marte Natal,22°19' Virgo,22°19' Virgo
2025-01-19 07:02:34,2025-01-19 04:02:34,Venus,Oposición,Plutón,Venus (directo) por tránsito esta en Oposición a tu Plutón Natal,16°18' Piscis,16°18' Virgo
2025-01-19 10:41:57,2025-01-19 07:41:57,Mercurio,Trígono,Plutón,Mercurio (directo) por tránsito esta en Trígono a tu Plutón Natal,16°18' Capricornio,16°18' Virgo
2025-01-20 19:02:34,2025-01-20 16:02:34,Luna,Conjunción,Luna,Luna (directo) por tránsito esta en Conjunción a tu Luna Natal,19°31' Libra,19°31' Libra
2025-01-21 07:19:27,2025-01-21 04:19:27,Mercurio,Sextil,Neptuno,Mercurio (directo) por tránsito esta en Sextil a tu Neptuno Natal,19°11' Capricornio,19°10' Escorpio
2025-01-21 07:41:15,2025-01-21 04:41:15,Saturno,Oposición,Plutón,Saturno (directo) por tránsito esta en Oposición a tu Plutón Natal,16°18' Piscis,16°18' Virgo
2025-01-21 12:42:53,2025-01-21 09:42:53,Mercurio,Cuadratura,Luna,Mercurio (directo) por tránsito esta en Cuadratura a tu Luna Natal,19°31' Capricornio,19°31' Libra
2025-01-22 02:24:08,2025-01-21 23:24:08,Venus,Cuadratura,Mercurio,Venus (directo) por tránsito esta en Cuadratura a tu Mercurio Natal,18°55' Piscis,18°55' Sagitario
2025-01-22 09:03:30,2025-01-22 06:03:30,Venus,Trígono,Neptuno,Venus (directo) por tránsito esta en Trígono a tu Neptuno Natal,19°11' Piscis,19°10' Escorpio
2025-01-22 22:19:27,2025-01-22 19:19:27,Luna,Sextil,Urano,Luna (directo) por tránsito esta en Sextil a tu Urano Natal,14°49' Escorpio,14°49' Virgo
2025-01-23 01:18:02,2025-01-22 22:18:02,Luna,Sextil,Plutón,Luna (directo) por tránsito esta en Sextil a tu Plutón Natal,16°18' Escorpio,16°18' Virgo
2025-01-23 01:36:19,2025-01-22 22:36:19,Luna,Oposición,Júpiter,Luna (directo) por tránsito esta en Oposición a tu Júpiter Natal,16°27' Escorpio,16°27' Tauro
2025-01-23 07:02:34,2025-01-23 04:02:34,Luna,Conjunción,Neptuno,Luna (directo) por tránsito esta en Conjunción a tu Neptuno Natal,19°10' Escorpio,19°10' Escorpio
2025-01-23 07:39:08,2025-01-23 04:39:08,Mercurio,Trígono,Marte,Mercurio (directo) por tránsito esta en Trígono a tu Marte Natal,22°19' Capricornio,22°19' Virgo
2025-01-23 13:19:27,2025-01-23 10:19:27,Luna,Sextil,Marte,Luna (directo) por tránsito esta en Sextil a tu Marte Natal,22°20' Escorpio,22°19' Virgo
2025-01-24 23:11:29,2025-01-24 20:11:29,Luna,Conjunción,Venus,Luna (directo) por tránsito esta en Conjunción a tu Venus Natal,9°36' Sagitario,9°36' Sagitario
2025-01-25 09:11:57,2025-01-25 06:11:57,Luna,Cuadratura,Urano,Luna (directo) por tránsito esta en Cuadratura a tu Urano Natal,14°49' Sagitario,14°49' Virgo
2025-01-25 12:02:06,2025-01-25 09:02:06,Luna,Cuadratura,Plutón,Luna (directo) por tránsito esta en Cuadratura a tu Plutón Natal,16°18' Sagitario,16°18' Virgo
2025-01-25 17:00:14,2025-01-25 14:00:14,Luna,Conjunción,Mercurio,Luna (directo) por tránsito esta en Conjunción a tu Mercurio Natal,18°55' Sagitario,18°55' Sagitario
2025-01-25 18:09:08,2025-01-25 15:09:08,Luna,Sextil,Luna,Luna (directo) por tránsito esta en Sextil a tu Luna Natal,19°32' Sagitario,19°31' Libra
2025-01-25 21:20:23,2025-01-25 18:20:23,Venus,Oposición,Marte,Venus (directo) por tránsito esta en Oposición a tu Marte Natal,22°19' Piscis,22°19' Virgo
2025-01-25 23:25:32,2025-01-25 20:25:32,Luna,Cuadratura,Marte,Luna (directo) por tránsito esta en Cuadratura a tu Marte Natal,22°20' Sagitario,22°19' Virgo
2025-01-26 23:24:08,2025-01-26 20:24:08,Luna,Conjunción,Sol,Luna (directo) por tránsito esta en Conjunción a tu Sol Natal,5°16' Capricornio,5°16' Capricornio
2025-01-27 16:41:57,2025-01-27 13:41:57,Luna,Trígono,Urano,Luna (directo) por tránsito esta en Trígono a tu Urano Natal,14°49' Capricornio,14°49' Virgo
2025-01-27 19:20:51,2025-01-27 16:20:51,Luna,Trígono,Plutón,Luna (directo) por tránsito esta en Trígono a tu Plutón Natal,16°18' Capricornio,16°18' Virgo
2025-01-28 00:28:49,2025-01-27 21:28:49,Luna,Sextil,Neptuno,Luna (directo) por tránsito esta en Sextil a tu Neptuno Natal,19°11' Capricornio,19°10' Escorpio
2025-01-28 01:05:23,2025-01-27 22:05:23,Luna,Cuadratura,Luna,Luna (directo) por tránsito esta en Cuadratura a tu Luna Natal,19°31' Capricornio,19°31' Libra
2025-01-28 06:03:30,2025-01-28 03:03:30,Luna,Trígono,Marte,Luna (directo) por tránsito esta en Trígono a tu Marte Natal,22°19' Capricornio,22°19' Virgo
2025-01-29 06:48:30,2025-01-29 03:48:30,Sol,Sextil,Venus,Sol (directo) por tránsito esta en Sextil a tu Venus Natal,9°36' Acuario,9°36' Sagitario
2025-01-29 12:10:32,2025-01-29 09:10:32,Luna,Sextil,Venus,Luna (directo) por tránsito esta en Sextil a tu Venus Natal,9°36' Acuario,9°36' Sagitario
2025-01-30 04:06:47,2025-01-30 01:06:47,Luna,Sextil,Mercurio,Luna (directo) por tránsito esta en Sextil a tu Mercurio Natal,18°55' Acuario,18°55' Sagitario
2025-01-30 04:33:30,2025-01-30 01:33:30,Luna,Cuadratura,Neptuno,Luna (directo) por tránsito esta en Cuadratura a tu Neptuno Natal,19°11' Acuario,19°10' Escorpio
2025-01-30 05:08:40,2025-01-30 02:08:40,Luna,Trígono,Luna,Luna (directo) por tránsito esta en Trígono a tu Luna Natal,19°31' Acuario,19°31' Libra
2025-01-31 00:17:34,2025-01-30 21:17:34,Luna,Conjunción,Saturno,Luna (directo) por tránsito esta en Conjunción a tu Saturno Natal,0°50' Piscis,0°50' Piscis
2025-01-31 07:46:10,2025-01-31 04:46:10,Luna,Sextil,Sol,Luna (directo) por tránsito esta en Sextil a tu Sol Natal,5°17' Piscis,5°16' Capricornio
2025-01-31 15:02:06,2025-01-31 12:02:06,Luna,Cuadratura,Venus,Luna (directo) por tránsito esta en Cuadratura a tu Venus Natal,9°36' Piscis,9°36' Sagitario
2025-01-31 23:46:38,2025-01-31 20:46:38,Luna,Oposición,Urano,Luna (directo) por tránsito esta en Oposición a tu Urano Natal,14°49' Piscis,14°49' Virgo
2025-02-01 02:15:42,2025-01-31 23:15:42,Luna,Oposición,Plutón,Luna (directo) por tránsito esta en Oposición a tu Plutón Natal,16°18' Piscis,16°18' Virgo
2025-02-01 06:38:40,2025-02-01 03:38:40,Luna,Cuadratura,Mercurio,Luna (directo) por tránsito esta en Cuadratura a tu Mercurio Natal,18°55' Piscis,18°55' Sagitario
2025-02-01 07:03:59,2025-02-01 04:03:59,Luna,Trígono,Neptuno,Luna (directo) por tránsito esta en Trígono a tu Neptuno Natal,19°10' Piscis,19°10' Escorpio
2025-02-01 12:20:23,2025-02-01 09:20:23,Luna,Oposición,Marte,Luna (directo) por tránsito esta en Oposición a tu Marte Natal,22°19' Piscis,22°19' Virgo
2025-02-02 09:59:45,2025-02-02 06:59:45,Luna,Cuadratura,Sol,Luna (directo) por tránsito esta en Cuadratura a tu Sol Natal,5°16' Aries,5°16' Capricornio
2025-02-02 17:15:42,2025-02-02 14:15:42,Luna,Trígono,Venus,Luna (directo) por tránsito esta en Trígono a tu Venus Natal,9°36' Aries,9°36' Sagitario
2025-02-02 22:15:14,2025-02-02 19:15:14,Mercurio,Sextil,Venus,Mercurio (directo) por tránsito esta en Sextil a tu Venus Natal,9°36' Acuario,9°36' Sagitario
2025-02-03 08:53:40,2025-02-03 05:53:40,Luna,Trígono,Mercurio,Luna (directo) por tránsito esta en Trígono a tu Mercurio Natal,18°55' Aries,18°55' Sagitario
2025-02-03 09:54:08,2025-02-03 06:54:08,Luna,Oposición,Luna,Luna (directo) por tránsito esta en Oposición a tu Luna Natal,19°31' Aries,19°31' Libra
2025-02-04 04:58:49,2025-02-04 01:58:49,Luna,Sextil,Saturno,Luna (directo) por tránsito esta en Sextil a tu Saturno Natal,0°50' Tauro,0°50' Piscis
2025-02-04 12:28:49,2025-02-04 09:28:49,Luna,Trígono,Sol,Luna (directo) por tránsito esta en Trígono a tu Sol Natal,5°16' Tauro,5°16' Capricornio
2025-02-05 07:30:42,2025-02-05 04:30:42,Luna,Conjunción,Júpiter,Luna (directo) por tránsito esta en Conjunción a tu Júpiter Natal,16°27' Tauro,16°27' Tauro
2025-02-05 12:09:08,2025-02-05 09:09:08,Luna,Oposición,Neptuno,Luna (directo) por tránsito esta en Oposición a tu Neptuno Natal,19°10' Tauro,19°10' Escorpio
2025-02-06 08:11:29,2025-02-06 05:11:29,Luna,Cuadratura,Saturno,Luna (directo) por tránsito esta en Cuadratura a tu Saturno Natal,0°50' Géminis,0°50' Piscis
2025-02-06 23:21:19,2025-02-06 20:21:19,Luna,Oposición,Venus,Luna (directo) por tránsito esta en Oposición a tu Venus Natal,9°36' Géminis,9°36' Sagitario
2025-02-07 11:12:53,2025-02-07 08:12:53,Sol,Sextil,Mercurio,Sol (directo) por tránsito esta en Sextil a tu Mercurio Natal,18°55' Acuario,18°55' Sagitario
2025-02-07 15:35:51,2025-02-07 12:35:51,Luna,Oposición,Mercurio,Luna (directo) por tránsito esta en Oposición a tu Mercurio Natal,18°55' Géminis,18°55' Sagitario
2025-02-07 17:12:53,2025-02-07 14:12:53,Sol,Cuadratura,Neptuno,Sol (directo) por tránsito esta en Cuadratura a tu Neptuno Natal,19°10' Acuario,19°10' Escorpio
2025-02-08 01:30:42,2025-02-07 22:30:42,Sol,Trígono,Luna,Sol (directo) por tránsito esta en Trígono a tu Luna Natal,19°31' Acuario,19°31' Libra
2025-02-08 08:03:02,2025-02-08 05:03:02,Mercurio,Sextil,Mercurio,Mercurio (directo) por tránsito esta en Sextil a tu Mercurio Natal,18°55' Acuario,18°55' Sagitario
2025-02-08 11:31:10,2025-02-08 08:31:10,Mercurio,Cuadratura,Neptuno,Mercurio (directo) por tránsito esta en Cuadratura a tu Neptuno Natal,19°10' Acuario,19°10' Escorpio
2025-02-08 12:34:27,2025-02-08 09:34:27,Luna,Trígono,Saturno,Luna (directo) por tránsito esta en Trígono a tu Saturno Natal,0°50' Cáncer,0°50' Piscis
2025-02-08 16:16:38,2025-02-08 13:16:38,Mercurio,Trígono,Luna,Mercurio (directo) por tránsito esta en Trígono a tu Luna Natal,19°31' Acuario,19°31' Libra
2025-02-08 20:25:32,2025-02-08 17:25:32,Luna,Oposición,Sol,Luna (directo) por tránsito esta en Oposición a tu Sol Natal,5°16' Cáncer,5°16' Capricornio
2025-02-09 16:26:29,2025-02-09 13:26:29,Luna,Sextil,Júpiter,Luna (directo) por tránsito esta en Sextil a tu Júpiter Natal,16°27' Cáncer,16°27' Tauro
2025-02-11 23:29:45,2025-02-11 20:29:45,Luna,Cuadratura,Júpiter,Luna (directo) por tránsito esta en Cuadratura a tu Júpiter Natal,16°27' Leo,16°27' Tauro
2025-02-12 07:22:15,2025-02-12 04:22:15,Venus,Cuadratura,Sol,Venus (directo) por tránsito esta en Cuadratura a tu Sol Natal,5°16' Aries,5°16' Capricornio
2025-02-13 02:45:14,2025-02-12 23:45:14,Luna,Oposición,Saturno,Luna (directo) por tránsito esta en Oposición a tu Saturno Natal,0°51' Virgo,0°50' Piscis
2025-02-14 05:46:38,2025-02-14 02:46:38,Luna,Conjunción,Urano,Luna (directo) por tránsito esta en Conjunción a tu Urano Natal,14°49' Virgo,14°49' Virgo
2025-02-14 07:49:41,2025-02-14 04:49:41,Saturno,Cuadratura,Mercurio,Saturno (directo) por tránsito esta en Cuadratura a tu Mercurio Natal,18°55' Piscis,18°55' Sagitario
2025-02-14 08:41:00,2025-02-14 05:41:00,Luna,Conjunción,Plutón,Luna (directo) por tránsito esta en Conjunción a tu Plutón Natal,16°18' Virgo,16°18' Virgo
2025-02-14 08:59:17,2025-02-14 05:59:17,Luna,Trígono,Júpiter,Luna (directo) por tránsito esta en Trígono a tu Júpiter Natal,16°27' Virgo,16°27' Tauro
2025-02-14 20:31:10,2025-02-14 17:31:10,Luna,Conjunción,Marte,Luna (directo) por tránsito esta en Conjunción a tu Marte Natal,22°19' Virgo,22°19' Virgo
2025-02-14 23:12:53,2025-02-14 20:12:53,Mercurio,Conjunción,Saturno,Mercurio (directo) por tránsito esta en Conjunción a tu Saturno Natal,0°50' Piscis,0°50' Piscis
2025-02-16 11:43:49,2025-02-16 08:43:49,Saturno,Trígono,Neptuno,Saturno (directo) por tránsito esta en Trígono a tu Neptuno Natal,19°10' Piscis,19°10' Escorpio
2025-02-17 03:03:30,2025-02-17 00:03:30,Luna,Conjunción,Luna,Luna (directo) por tránsito esta en Conjunción a tu Luna Natal,19°32' Libra,19°31' Libra
2025-02-17 08:53:40,2025-02-17 05:53:40,Mercurio,Sextil,Sol,Mercurio (directo) por tránsito esta en Sextil a tu Sol Natal,5°16' Piscis,5°16' Capricornio
2025-02-19 06:17:34,2025-02-19 03:17:34,Sol,Conjunción,Saturno,Sol (directo) por tránsito esta en Conjunción a tu Saturno Natal,0°50' Piscis,0°50' Piscis
2025-02-19 06:24:36,2025-02-19 03:24:36,Luna,Sextil,Urano,Luna (directo) por tránsito esta en Sextil a tu Urano Natal,14°49' Escorpio,14°49' Virgo
2025-02-19 09:24:36,2025-02-19 06:24:36,Luna,Sextil,Plutón,Luna (directo) por tránsito esta en Sextil a tu Plutón Natal,16°18' Escorpio,16°18' Virgo
2025-02-19 09:42:53,2025-02-19 06:42:53,Luna,Oposición,Júpiter,Luna (directo) por tránsito esta en Oposición a tu Júpiter Natal,16°27' Escorpio,16°27' Tauro
2025-02-19 15:13:21,2025-02-19 12:13:21,Luna,Conjunción,Neptuno,Luna (directo) por tránsito esta en Conjunción a tu Neptuno Natal,19°11' Escorpio,19°10' Escorpio
2025-02-19 16:51:47,2025-02-19 13:51:47,Mercurio,Cuadratura,Venus,Mercurio (directo) por tránsito esta en Cuadratura a tu Venus Natal,9°36' Piscis,9°36' Sagitario
2025-02-19 21:33:02,2025-02-19 18:33:02,Luna,Sextil,Marte,Luna (directo) por tránsito esta en Sextil a tu Marte Natal,22°19' Escorpio,22°19' Virgo
2025-02-21 07:56:00,2025-02-21 04:56:00,Luna,Conjunción,Venus,Luna (directo) por tránsito esta en Conjunción a tu Venus Natal,9°37' Sagitario,9°36' Sagitario
2025-02-21 18:06:19,2025-02-21 15:06:19,Luna,Cuadratura,Urano,Luna (directo) por tránsito esta en Cuadratura a tu Urano Natal,14°49' Sagitario,14°49' Virgo
2025-02-21 20:59:17,2025-02-21 17:59:17,Luna,Cuadratura,Plutón,Luna (directo) por tránsito esta en Cuadratura a tu Plutón Natal,16°18' Sagitario,16°18' Virgo
2025-02-22 01:23:40,2025-02-21 22:23:40,Venus,Trígono,Venus,Venus (directo) por tránsito esta en Trígono a tu Venus Natal,9°36' Aries,9°36' Sagitario
2025-02-22 02:03:02,2025-02-21 23:03:02,Luna,Conjunción,Mercurio,Luna (directo) por tránsito esta en Conjunción a tu Mercurio Natal,18°55' Sagitario,18°55' Sagitario
2025-02-22 03:13:21,2025-02-22 00:13:21,Luna,Sextil,Luna,Luna (directo) por tránsito esta en Sextil a tu Luna Natal,19°32' Sagitario,19°31' Libra
2025-02-22 08:35:23,2025-02-22 05:35:23,Luna,Cuadratura,Marte,Luna (directo) por tránsito esta en Cuadratura a tu Marte Natal,22°19' Sagitario,22°19' Virgo
2025-02-22 12:21:47,2025-02-22 09:21:47,Mercurio,Oposición,Urano,Mercurio (directo) por tránsito esta en Oposición a tu Urano Natal,14°49' Piscis,14°49' Virgo
2025-02-23 07:44:45,2025-02-23 04:44:45,Mercurio,Oposición,Plutón,Mercurio (directo) por tránsito esta en Oposición a tu Plutón Natal,16°18' Piscis,16°18' Virgo
2025-02-23 09:00:42,2025-02-23 06:00:42,Luna,Conjunción,Sol,Luna (directo) por tránsito esta en Conjunción a tu Sol Natal,5°16' Capricornio,5°16' Capricornio
2025-02-23 15:51:19,2025-02-23 12:51:19,Sol,Sextil,Sol,Sol (directo) por tránsito esta en Sextil a tu Sol Natal,5°16' Piscis,5°16' Capricornio
2025-02-24 02:33:59,2025-02-23 23:33:59,Luna,Trígono,Urano,Luna (directo) por tránsito esta en Trígono a tu Urano Natal,14°49' Capricornio,14°49' Virgo
2025-02-24 05:15:42,2025-02-24 02:15:42,Luna,Trígono,Plutón,Luna (directo) por tránsito esta en Trígono a tu Plutón Natal,16°18' Capricornio,16°18' Virgo
2025-02-24 10:26:29,2025-02-24 07:26:29,Luna,Sextil,Neptuno,Luna (directo) por tránsito esta en Sextil a tu Neptuno Natal,19°10' Capricornio,19°10' Escorpio
2025-02-24 11:04:27,2025-02-24 08:04:27,Luna,Cuadratura,Luna,Luna (directo) por tránsito esta en Cuadratura a tu Luna Natal,19°31' Capricornio,19°31' Libra
2025-02-24 16:05:23,2025-02-24 13:05:23,Luna,Trígono,Marte,Luna (directo) por tránsito esta en Trígono a tu Marte Natal,22°19' Capricornio,22°19' Virgo
2025-02-24 18:13:21,2025-02-24 15:13:21,Mercurio,Cuadratura,Mercurio,Mercurio (directo) por tránsito esta en Cuadratura a tu Mercurio Natal,18°55' Piscis,18°55' Sagitario
2025-02-24 21:35:51,2025-02-24 18:35:51,Mercurio,Trígono,Neptuno,Mercurio (directo) por tránsito esta en Trígono a tu Neptuno Natal,19°10' Piscis,19°10' Escorpio
2025-02-25 22:20:51,2025-02-25 19:20:51,Luna,Sextil,Venus,Luna (directo) por tránsito esta en Sextil a tu Venus Natal,9°36' Acuario,9°36' Sagitario
2025-02-26 14:14:17,2025-02-26 11:14:17,Luna,Sextil,Mercurio,Luna (directo) por tránsito esta en Sextil a tu Mercurio Natal,18°55' Acuario,18°55' Sagitario
2025-02-26 14:39:36,2025-02-26 11:39:36,Luna,Cuadratura,Neptuno,Luna (directo) por tránsito esta en Cuadratura a tu Neptuno Natal,19°10' Acuario,19°10' Escorpio
2025-02-26 15:14:45,2025-02-26 12:14:45,Luna,Trígono,Luna,Luna (directo) por tránsito esta en Trígono a tu Luna Natal,19°31' Acuario,19°31' Libra
2025-02-26 16:06:47,2025-02-26 13:06:47,Mercurio,Oposición,Marte,Mercurio (directo) por tránsito esta en Oposición a tu Marte Natal,22°19' Piscis,22°19' Virgo
2025-02-27 10:11:00,2025-02-27 07:11:00,Luna,Conjunción,Saturno,Luna (directo) por tránsito esta en Conjunción a tu Saturno Natal,0°50' Piscis,0°50' Piscis
2025-02-27 17:31:10,2025-02-27 14:31:10,Luna,Sextil,Sol,Luna (directo) por tránsito esta en Sextil a tu Sol Natal,5°16' Piscis,5°16' Capricornio
2025-02-27 23:13:35,2025-02-27 20:13:35,Sol,Cuadratura,Venus,Sol (directo) por tránsito esta en Cuadratura a tu Venus Natal,9°36' Piscis,9°36' Sagitario
2025-02-28 00:38:40,2025-02-27 21:38:40,Luna,Cuadratura,Venus,Luna (directo) por tránsito esta en Cuadratura a tu Venus Natal,9°36' Piscis,9°36' Sagitario
2025-02-28 09:10:32,2025-02-28 06:10:32,Luna,Oposición,Urano,Luna (directo) por tránsito esta en Oposición a tu Urano Natal,14°49' Piscis,14°49' Virgo
2025-02-28 11:36:47,2025-02-28 08:36:47,Luna,Oposición,Plutón,Luna (directo) por tránsito esta en Oposición a tu Plutón Natal,16°18' Piscis,16°18' Virgo
